input_id,round_id,fc1_min_abs_diff,fc1_max_abs_diff,fc1_mean_abs_diff,fc2_min_abs_diff,fc2_max_abs_diff,fc2_mean_abs_diff,fc3_min_abs_diff,fc3_max_abs_diff,fc3_mean_abs_diff,all_layers_max_diff,all_layers_min_of_max,real_input,pred_input,inverse_method
20,1,0.018538743257522583,2.134740114212036,0.8462649583816528,0.000943399965763092,2.4854512214660645,0.8838199973106384,0.0,0.0,0.0,2.4854512214660645,0.0,"[1.695382833480835, 1.2036579847335815, 1.3600547313690186, 1.757552981376648]","[0.3054976165294647, 0.0795707106590271, 0.2793177664279938, 0.25594988465309143]",pseudo_inverse
20,2,0.018538743257522583,2.134740114212036,0.8462649583816528,0.000943399965763092,2.4854512214660645,0.8838199973106384,0.0,0.0,0.0,2.4854512214660645,0.0,"[1.695382833480835, 1.2036579847335815, 1.3600547313690186, 1.757552981376648]","[0.3054976165294647, 0.0795707106590271, 0.2793177664279938, 0.25594988465309143]",svd
20,3,0.018538743257522583,2.134740114212036,0.8462939262390137,0.000943399965763092,2.488100528717041,0.8837499618530273,0.0,0.0,0.0,2.488100528717041,0.0,"[1.695382833480835, 1.2036579847335815, 1.3600547313690186, 1.757552981376648]","[0.3046046793460846, 0.08134175837039948, 0.2788495421409607, 0.2563000023365021]",regularized
21,1,0.005389094352722168,0.9094744324684143,0.2528865933418274,0.0019650552421808243,1.1776275634765625,0.32588618993759155,0.0,0.0,0.0,1.1776275634765625,0.0,"[-0.13307079672813416, -0.3614700436592102, 0.27124685049057007, 0.15573254227638245]","[-0.059449851512908936, -0.024277767166495323, 0.2510372996330261, 0.003924548625946045]",pseudo_inverse
21,2,0.005389094352722168,0.9094744324684143,0.2528865933418274,0.0019650552421808243,1.1776275634765625,0.32588618993759155,0.0,0.0,0.0,1.1776275634765625,0.0,"[-0.13307079672813416, -0.3614700436592102, 0.27124685049057007, 0.15573254227638245]","[-0.059449851512908936, -0.024277767166495323, 0.2510372996330261, 0.003924548625946045]",svd
21,3,0.005389094352722168,0.9066689014434814,0.2528643012046814,0.0019650552421808243,1.1794517040252686,0.3257899880409241,0.0,0.0,0.0,1.1794517040252686,0.0,"[-0.13307079672813416, -0.3614700436592102, 0.27124685049057007, 0.15573254227638245]","[-0.05953062325716019, -0.023678742349147797, 0.25152239203453064, 0.0039971135556697845]",regularized
22,1,0.008347272872924805,2.250384569168091,0.8858181834220886,0.019269578158855438,3.1591601371765137,1.2142025232315063,0.0,0.0,0.0,3.1591601371765137,0.0,"[2.1829705238342285, -0.1378803253173828, 1.646583080291748, 1.2236127853393555]","[0.4146724343299866, 0.056033991277217865, 0.2642318606376648, 0.2812301814556122]",pseudo_inverse
22,2,0.008347272872924805,2.250384569168091,0.8858181834220886,0.019269578158855438,3.1591601371765137,1.2142025232315063,0.0,0.0,0.0,3.1591601371765137,0.0,"[2.1829705238342285, -0.1378803253173828, 1.646583080291748, 1.2236127853393555]","[0.4146724343299866, 0.056033991277217865, 0.2642318606376648, 0.2812301814556122]",svd
22,3,0.008347272872924805,2.250384569168091,0.8861218690872192,0.019269578158855438,3.161766529083252,1.2141716480255127,0.0,0.0,0.0,3.161766529083252,0.0,"[2.1829705238342285, -0.1378803253173828, 1.646583080291748, 1.2236127853393555]","[0.4131437838077545, 0.05766213685274124, 0.26443344354629517, 0.28172099590301514]",regularized
23,1,0.01007118821144104,0.754351019859314,0.25455254316329956,0.04984626919031143,1.1199579238891602,0.3467128872871399,0.0,0.0,0.0,1.1199579238891602,0.0,"[-0.25496768951416016, -0.1378803253173828, 0.4431639015674591, 0.4227026104927063]","[-0.01343286782503128, 0.022435413673520088, 0.25209641456604004, 0.061753131449222565]",pseudo_inverse
23,2,0.01007118821144104,0.754351019859314,0.25455254316329956,0.04984626919031143,1.1199579238891602,0.3467128872871399,0.0,0.0,0.0,1.1199579238891602,0.0,"[-0.25496768951416016, -0.1378803253173828, 0.4431639015674591, 0.4227026104927063]","[-0.01343286782503128, 0.022435413673520088, 0.25209641456604004, 0.061753131449222565]",svd
